id_buque,nombre,patente,pais,tipo
0,Abbotsham,ZX2922,India,pesquero
1,Abdiel,PM8536,Canada,pesquero
2,Abeille,VC7492,Singapur,pesquero
3,Abelardo,LS5992,Costa Rica,pesquero
4,Abelia,PJ5481,Argentina,carga
5,Abercrombie,LX6914,Qatar,petrolero
6,Aberdeen,EH9187,Qatar,petrolero
7,Aberford,ST8633,Mexico,pesquero
8,Aberfoyle,EY2745,Japon,pesquero
9,abergavenny,LA5643,Siria,petrolero
10,Abigail,AU5998,Irlanda,pesquero
11,Abingdon,ET5609,Nicaragua,pesquero
12,abondance,MO4425,Filipinas,pesquero
13,aboukir,BY5212,Colombia,petrolero
14,Abrahan,EG8528,Brasil,pesquero
15,Abrams Oferta,QD4440,Estados Unidos,petrolero
16,Abundancia,VX5561,Estados Unidos,pesquero
17,Abisinia,VT6220,Mexico,carga
18,Acacia,XK7318,Argentina,pesquero
19,Acanto,WW2485,Portugal,petrolero
20,acasta,HV2199,Mexico,carga
21,As,ID7819,Panama,pesquero
22,Acertif,QA2495,Nueva Zelanda,pesquero
23,achates,WF7217,Islas Malvinas,carga
24,acheron,BN4195,Costa Rica,carga
25,Achille,UW2735,Austria,carga
26,Aquiles,EF7582,Belgica,carga
27,Aconito,OT5458,Mexico,carga
28,Bellota,YN4644,Islas Malvinas,pesquero
29,Acteon,FS3778,Indonesia,carga
30,acteon,VW7522,Australia,pesquero
31,Calypso,VI4743,Canada,pesquero
32,Activo,OJ8771,España,petrolero
33,Actividad,OC4762,Finlandia,pesquero
34,Agudo,XN4914,Peru,carga
35,Adan y Eva,XP9141,Jamaica,pesquero
36,Firme,EX4705,Japon,petrolero
37,inflexible II,BJ4245,Tailandia,pesquero
38,Agrega un,RH8308,Dinamarca,carga
39,Sumador,YP3858,Nicaragua,pesquero
40,Adelaide,AL8743,Filipinas,petrolero
41,Adepto,KM2551,Republica Dominicana,petrolero
42,Admirable,EI5702,Italia,petrolero
43,Almirante Devries,RJ2733,Estados Unidos,petrolero
44,Almirante Farragut,YG2900,Sudafrica,carga
45,Almirantazgo,TO8113,Austria,carga
46,Adonis,HE7029,India,petrolero
47,Habil,HB3228,Singapur,petrolero
48,Adur,OF5956,Egipto,petrolero
49,Avanzar,SG9128,Japon,carga
50,Ventaja,GO7311,Australia,petrolero
51,Advantagia,PM7495,Peru,pesquero
52,Aventuras,GS7205,España,pesquero
53,aventura Galera,PU5101,Peru,pesquero
54,Premio aventura,VP2429,Australia,pesquero
55,Adversario,MO4968,España,pesquero
56,Consejo,BI5654,Peru,carga
57,Premio consejos,YB8271,Siria,petrolero
58,Asesor,VT2032,Austria,pesquero
59,Eneas,MU6547,Sudafrica,carga
60,Eolo,IW2489,Australia,pesquero
61,Aetna,IG9597,Indonesia,pesquero
62,Affleck,AU6167,Argentina,carga
63,Refriega,JD8184,Mexico,petrolero
64,Africa,RK2324,Republica Dominicana,petrolero
65,Africaine,LN6036,Republica Dominicana,pesquero
66,Afridi,PZ3477,Nicaragua,carga
67,Afrikander,GM1638,Islas Malvinas,pesquero
68,Agamenon,CI3218,Siria,petrolero
69,Aladdin,UH6836,Portugal,pesquero
70,Alamein,QJ6353,Peru,petrolero
71,Alarico,LW4637,Brasil,carga
72,Alarma,SL2391,Sudafrica,petrolero
73,Alaunia II,PP3724,Portugal,petrolero
74,albacora,QL4591,Siria,carga
75,Alban,BF7024,Finlandia,pesquero
76,Albanaise,QI7769,Japon,petrolero
77,Albany,FM3163,Finlandia,pesquero
78,Albatros,NX3376,Egipto,carga
79,Albemarle,XG7925,Filipinas,carga
80,alberni,KY2131,Paraguay,carga
81,Albert,MW6341,Tailandia,petrolero
82,Alberta,FU8868,Panama,pesquero
83,Albian,UH1378,Sudafrica,petrolero
84,Albrighton,GT9752,España,petrolero
85,Albuera,OB9598,Vietnam,petrolero
86,albury,VR7517,Islas Malvinas,petrolero
87,Alcantara,GF5994,España,petrolero
88,Alcaston,HF1544,Jamaica,petrolero
89,blackwall,AI2283,Reino Unido,carga
90,Agua Negra,KC2936,Noruega,petrolero
91,Madera negra,MN1612,Italia,pesquero
92,Espada,OR9516,Singapur,petrolero
93,BLAIRMORE,OE1789,Argentina,carga
94,Blake,WD8846,Noruega,carga
95,Blakeney,MZ9845,Italia,pesquero
96,Blanche,RV9799,Dinamarca,petrolero
97,Blandford,IV2746,Argentina,petrolero
98,Blankney,TJ7818,Portugal,petrolero
99,Blaxton,OF1501,Noruega,pesquero
100,Resplandor,BY4314,Suiza,petrolero
101,Chaqueta de sport,AM9504,Paraguay,carga
102,Blean,ZV9679,Australia,petrolero
103,Bleasdale,SV9482,Panama,pesquero
104,blencathra,UL8619,India,pesquero
105,Blenheim,LF8633,Suiza,petrolero
106,Bendicion,PR9667,Noruega,carga
107,Blickling,MZ2239,Egipto,petrolero
108,Bligh,WI9449,Suiza,pesquero
